word1 word2
too bad
sore throat
originated problem
gets ignored
cant afford
really compulsive
weight gain
breaking dawn
hate working
gonna miss
walk less
not appreciate
risk for
side affect
least interesting
lack of
death penalty
horror hospital
death rates
ticking timebomb
lifetime risk
feel weird
something off
fell asleep
hard enough
dirty dancing
devil wears
highly doubt
criminal minds
bad actually
stupid shit
em dead
looks wrong
feeling guilty
lazy git
feel dumb
that sucks
tummy hurts
head hurts
throat hurts
tummy ache
never trust
feeling sick
bad news
having problems
whats wrong
poor baby
bad afterall
feel lonely
stuck inside
bad times
stomach ache
stomach hurts
feet hurt
sad face
ear infection
falling asleep
bad mood
keeps crashing
it sucks
wanna cry
poor little
very sad
sooo tired
kinda sad
This sucks
've lost
gonna cry
hard drive
fall asleep.
hate having
blah blah
falling apart
blah blah
miss everyone
epic fail
head ache
worst part
gossip girl
how sad
sad panda
it hurts
...too bad
bad headache
gonna miss
sad times
body aches
allergic reaction
hay fever
worst headache
massive headache
worst headache
sinus infection
hate waking
soo tired
teeth hurt
sooo bad
stuffy nose
pretty bad
bad dream
sad news
Im sorry
sooo sad
real bad
eyes hurt
gonna die
sun burn
soo sad
soooo tired
bug bites
miss ya
poor guy
legs hurt
gonna suck
major headache
spring break
traffic jam
Holy crap
super tired
stuck indoors
neck hurts
Holy shit
miss those
body hurts
heart attack
emergency room
panic attack
panic attack
alarm clock
killer headache
killer headache
fuck fuck
tooth ache
guinea pig
fuck fuck
bad idea
super sad
pain killers
soo bored
arm hurts
soo bad
gunna miss
gonna fail
terrible headache
bad weather
terrible headache
huge headache
stiff neck
heart broken
does suck
god damn
broken heart
losing followers
bad luck
sooo bored
plane crash
Epic fail
poison ivy
soooo bad
bug bite
Having trouble
To bad
poor puppy
sun burnt
warped tour
lunch break
weather sucks
urgent care
Another loser
foot hurts
poor girl
Still sick
...i miss
sucks ass
ima miss
heart hurts
soooo sad
holy crap
Sooo tired
cold outside
Whats wrong
prison break
prison break
nose bleed
sorry hun
keeps freezing
committed suicide
junk food
trouble sleeping
sooooo tired
hate mondays
Feeling sick
mouth hurts
belly ache
super bored
bad dreams
sad story
sob sob
soooo bored
sob sob
sorry guys
might cry
technical difficulties
eye infection
crappy weather
Being sick
stop hurting
aww poor
hate Mondays
withdrawal symptoms
splitting headache
stomach pains
splitting headache
bored bored
fell through
Will miss
Kinda sad
knee hurts
Head hurts
hate Harry
failing miserably
totally sucks
failing miserably
miss having
Tummy ache
leg hurts
hate seeing
miss seeing
which sucks
hate waiting
thats sad
fell asleep.
Cavs lost
We lost
kinda sick
totally missed
super sick
kinda sucks
ear ache
sore head
Im sad
imma miss
horrible headache
horrible headache
gets worse
made redundant
fish died
jet lag
...so sad
sucks big
ears hurt
broken hearted
holy shit
dog died
miss youu
most boring
Fawcett died
poor kids
McMahon died
eye hurts
emergency vet
Someone stole
throat infection
keep losing
tooth hurts
battery died
belly hurts
dim sum
ill miss
felt bad
scary movies
pretty sad
kidney infection
chest hurts
ive lost
Code sucked
sooooo bad
fucking hate
most depressing
Oh crap
quite sad
upset stomach
team lost
ear hurts
head cold
chest pains
Soooo tired
June gloom
bad cold
temporarily unavailable
lonely keep
sad movie
...i hate
Life sucks
Flight delayed
went wrong
hate living
asthma attack
dead tired
own fault
dead tired
commit suicide
That stinks
sucks balls
horrible dream
God damn
miss talking
sore throats
miss youuu
panic attacks
panic attacks
sinus headache
poor kitty
hate school
hate feeling
awww poor
itchy eyes
We miss
Those poor
Very doubtful
cavs lost
sorry bout
gloomy outside
fingers hurt
who died
shoulder hurts
bad cough
high fever
glandular fever
Oh shit
head hurt
sorry babe
Too tired
scary movie
failed miserably
failed miserably
bad timing
Really sad
Im sick
hate exams
poor lil
brain hurts
fire alarm
fell apart
France crash
hate those
sooooo sad
death warmed
ear infections
sooo boring
shit shit
worst nightmare
worst nightmare
error message
shit shit
biggest headache
hate sleeping
bloody hell
bloody hell
hate doing
hand hurts
puppet commercials
name wrong
fucking tired
gonna kill
sunburn hurts
allergy attack
bad habit
stomach virus
tummy hurt
officially dead
heart breaking
hate bein
pretty crappy
banging headache
stomach bug
hate sundays
m begging
Soo tired
wrist hurts
separation anxiety
Very disappointed
tummy aches
kinda miss
sooo jealous
feels bad
bad enough
Im bored
sun burned
feels sick
finger hurts
Boyle lost
poor kid
might die
gettin sick
chest infection
ankle hurts
bored outta
fat ass
wats wrong
sucks sometimes
poor dog
Very tired
hate these
fall apart
SO sad
lost their
feels weird
worst feeling
stupid rain
boiling water
You poor
almost dead
freezing cold
hurts sooo
freezing cold
this sucks
ho hum
Ho hum
fall asleep...
Only problem
arms hurt
foul mood
upset tummy
computer crashed
flight delayed
sick baby
pretty boring
sad part
Im tired
Imma miss
falling asleep.
worst dream
stomach hurt
soooooo tired
heat rash
anxiety attack
anxiety attack
feelin sick
motion sickness
Work sucks
wrong side
pounding headache
cold weather
..i miss
We missed
Tummy hurts
..too bad
acting weird
hate thunder
hate packing
missed 11:11
Im stuck
SO bad
kinda lonely
fail whale
miss youuuu
sad ending
song stuck
sooo sick
poor car
Massive headache
extremely sad
pain meds
Nadal lost
extremely tired
cruel world
nothing worse
heart aches
soo boring
heart burn
collecting dust
sooo cold
Stomach ache
external hard
jet lagged
hydrogen leak
butt hurts
sorely missed
tornado warning
sorely missed
birthday bash
soooo boring
sore tummy
sorry sweetie
bitter sweet
gotten worse
False alarm
slow internet
thats horrible
Aww poor
lost mine
held hostage
damn hot
ugh ugh
cold coming
face hurts
hate hate
wrong wit
poor boy
fallen asleep
bad feeling
Hay fever
super slow
Carradine died
impending doom
impending doom
swollen glands
sooo sorry
kinda disappointed
hate summer
boo hiss
freaking tired
degree burns
critical condition
freaking tired
freaking hot
sad coz
broken leg
slowly dying
slowly dying
Its hard
hate rain
Sooooo tired
gloomy weather
keeps failing
head aches
dead pixel
extremely bored
knees hurt
health problems
found dead
worst possible
wanna hang
ruin everything
sounds awful
nervous wreck
nervous wreck
officially hate
Potter sucks
hard way
kinda bored
thats terrible
slight fever
poor wee
boiling hot
Im scared
false alarm
false alarm
dark clouds
....too bad
stupid exams
1,I'll miss
limit exceeded
hate life
lost two
hurts soo
sad Watching
sorry dude
somethings wrong
How depressing
slight headache
Feel bad
soo sick
most annoying
bad tummy
metro crash
sounds painful
almost died
kinda mad
cat died
sick child
growing pains
dad died
strange reason
shoulders hurt
hate math
guinea pigs
Traffic jam
hate mornings
who lost
pretty upset
hate needles
In pain
withdrawl symptoms
bad case
SO tired
dumb ass
toe hurts
junk mail
jaw hurts
excruciating pain
cry cry
excruciating pain
hell hole
soo hard
terrible news
cry cry
hell hole
crappy mood
error occurred
scary dream
mashed potatoes
shit outta
hate goodbyes
nasty cough
emotional wreck
suck ass
sorry hon
shakes fist
Can't fall
knee injury
degree fever
gona miss
super bad
bad sunburn
thats awful
Home sick
scared shitless
pretty hard
worst luck
damn tired
SO jealous
real hard
Feeling sad
emotionally drained
weird noises
weird noises
sore feet
ruins everything
ive missed
hate hospitals
Very upset
worried bout
viral infection
miss dancing
Mountain sucked
sore throat.
soooo slow
damn near
rate limit
Another boring
trouble breathing
train wreck
stomache hurts
body hates
hate rainy
kinda boring
sick little
Code sucks
fucking bored
heart breaks
bad hair
weird dreams
terribly sad
who stole
most disgusting
technical problems
stupid cold
stupid ass
pretty badly
daily grind
beg Dougie
Boo hiss
soooooo bored
went downhill
fuck sake
Stomach hurts
poor cat
must suck
throbbing headache
laptop died
scratchy throat
pretty damn
horrible person
bad stomach
throbbing headache
poorly sick
poorly sick
fish tank
stormy weather
poison oak
spelling mistakes
code sucks
poor doggy
sooooo bored
Really tired
stop bleeding
hate winter
stomach aches
Super tired
nasty cold
nasty cold
dizzy spells
sour sally
shit load
thumb hurts
bad choice
death toll
death toll
aww sorry
pity party
commited suicide
Super sad
damn cold
cry everytime
sooo slow
sorry honey
most difficult
trouble finding
ugly betty
chest pain
poor bb
You suck
Bloody hell
incredibly bored
survivor died
Really bad
...it hurts
boring weekend
missed church
mental breakdown
miss these
missed each
wrong person
....so sad
miss hearing
incredibly sad
code sucked
wrong way
hate storms
may cry
Very sorry
bloody cold
stupid computer
Killer headache
totally failed
bloody cold
